player,date,time,id,item,itemID,itemString,response,votes,class,instance,boss,difficultyID,mapID,groupSize,gear1,gear2,responseID,isAwardReason,subType,equipLoc,note,owner
Clothie-BloodsailBuccaneers,3/14/20,02:54:20,1584168860-15,[Arcanist Gloves],16801,item:16801::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Shazzrah,9,409,40,|cffa335ee|Hitem:16801:930:::::::60:::::::|h[Arcanist Gloves]|h|r,,1,true,Cloth,Hands,,Shazzrah
Clothie-BloodsailBuccaneers,3/14/20,03:35:05,1584171305-19,[Arcanist Robes],16798,item:16798::::::::60,Banking,0,MAGE,Molten Core-40 Player,Golemagg the Incinerator,9,409,40,|cffa335ee|Hitem:14152:928:::::::60:::::::|h[Robe of the Archmage]|h|r,,2,true,Cloth,Chest,,Golemagg the Incinerator
Clothie-BloodsailBuccaneers,3/14/20,23:19:36,1584242376-1,[Nemesis Skullcap],16929,item:16929::::::::60,Disenchant,0,MAGE,Onyxia's Lair-40 Player,Onyxia,9,249,40,|cffa335ee|Hitem:16914::::::::60:::::::|h[Netherwind Crown]|h|r,,1,true,Cloth,Head,,Onyxia
Clothie-BloodsailBuccaneers,3/21/20,01:19:25,1584767965-1,[Felheart Gloves],16805,item:16805::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Lucifron,9,409,40,|cffa335ee|Hitem:16801:930:::::::60:::::::|h[Arcanist Gloves]|h|r,,1,true,Cloth,Hands,,Lucifron
Clothie-BloodsailBuccaneers,3/21/20,01:27:53,1584768473-2,[Eskhandar's Right Claw],18203,item:18203::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Magmadar,9,409,40,|cffa335ee|Hitem:17103:2504:::::::60:::::::|h[Azuresong Mageblade]|h|r,,1,true,Fist Weapons,Main Hand,,Magmadar
Clothie-BloodsailBuccaneers,3/21/20,01:41:10,1584769270-6,[Earthfury Gauntlets],16839,item:16839::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Gehennas,9,409,40,|cffa335ee|Hitem:16801:930:::::::60:::::::|h[Arcanist Gloves]|h|r,,1,true,Mail,Hands,,Gehennas
Clothie-BloodsailBuccaneers,3/21/20,02:00:09,1584770409-8,[Nightslayer Cover],16821,item:16821::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Garr,9,409,40,|cffa335ee|Hitem:16914::::::::60:::::::|h[Netherwind Crown]|h|r,,1,true,Leather,Head,,Garr
Clothie-BloodsailBuccaneers,3/21/20,02:25:09,1584771909-14,[Arcanist Gloves],16801,item:16801::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Shazzrah,9,409,40,|cffa335ee|Hitem:16801:930:::::::60:::::::|h[Arcanist Gloves]|h|r,,1,true,Cloth,Hands,,Shazzrah
Clothie-BloodsailBuccaneers,3/21/20,03:01:09,1584774069-18,[Arcanist Robes],16798,item:16798::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Golemagg the Incinerator,9,409,40,|cffa335ee|Hitem:14152:928:::::::60:::::::|h[Robe of the Archmage]|h|r,,1,true,Cloth,Chest,,Golemagg the Incinerator
Clothie-BloodsailBuccaneers,3/21/20,22:59:46,1584845986-0,[Nemesis Skullcap],16929,item:16929::::::::60,Disenchant,0,MAGE,Onyxia's Lair-40 Player,Onyxia,9,249,40,|cffa335ee|Hitem:16914::::::::60:::::::|h[Netherwind Crown]|h|r,,1,true,Cloth,Head,,Onyxia
Clothie-BloodsailBuccaneers,3/21/20,23:46:14,1584848774-8,[Arcane Infused Gem],19336,item:19336::::::::60,Disenchant,4,MAGE,Blackwing Lair-40 Player,Razorgore the Untamed,9,469,40,|cff0070dd|Hitem:13965::::::::60:::11::::|h[Blackhand's Breadth]|h|r,|cff0070dd|Hitem:18473::::::::60:::11::::|h[Royal Seal of Eldre'Thalas]|h|r,1,true,Miscellaneous,Trinket,,Razorgore the Untamed
Clothie-BloodsailBuccaneers,3/22/20,00:29:58,1584851398-0,[Mind Quickening Gem],19339,item:19339::::::::60,Mainspec,4,MAGE,Blackwing Lair-40 Player,Vaelastrasz the Corrupt,9,469,40,|cff0070dd|Hitem:13968::::::::60:::11::::|h[Eye of the Beast]|h|r,|cff0070dd|Hitem:12930::::::::60:::1::::|h[Briarwood Reed]|h|r,1,false,Miscellaneous,Trinket,,Vaelastrasz the Corrupt
Clothie-BloodsailBuccaneers,3/28/20,01:23:09,1585372989-0,[Arcanist Boots],16800,item:16800::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Lucifron,9,409,40,|cff0070dd|Hitem:11822:464:::::::60:::1::::|h[Omnicast Boots]|h|r,,1,true,Cloth,Feet,,Lucifron
Clothie-BloodsailBuccaneers,3/28/20,01:23:13,1585372993-1,[Felheart Gloves],16805,item:16805::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Lucifron,9,409,40,|cffa335ee|Hitem:16801:930:::::::60:::::::|h[Arcanist Gloves]|h|r,,1,true,Cloth,Hands,,Lucifron
Clothie-BloodsailBuccaneers,3/28/20,01:50:59,1585374659-5,[Nightslayer Gloves],16826,item:16826::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Gehennas,9,409,40,|cffa335ee|Hitem:16801:930:::::::60:::::::|h[Arcanist Gloves]|h|r,,1,true,Leather,Hands,,Gehennas
Clothie-BloodsailBuccaneers,3/28/20,02:06:01,1585375561-8,[Felheart Horns],16808,item:16808::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Garr,9,409,40,|cffa335ee|Hitem:16914::::::::60:::::::|h[Netherwind Crown]|h|r,,1,true,Cloth,Head,,Garr
Clothie-BloodsailBuccaneers,3/28/20,02:58:01,1585378681-16,[Mantle of Prophecy],16816,item:16816::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Sulfuron Harbinger,9,409,40,|cff0070dd|Hitem:11782:2483:::::::60:::1::::|h[Boreal Mantle]|h|r,,1,true,Cloth,Shoulder,,Sulfuron Harbinger
Clothie-BloodsailBuccaneers,4/04/20,01:56:23,1585979783-4,[Formula: Enchant Weapon - Spell Power],18259,item:18259::::::::60,Mainspec,2,MAGE,Molten Core-40 Player,Gehennas,9,409,40,,,1,false,Enchanting,,,Gehennas
Clothie-BloodsailBuccaneers,4/04/20,03:22:20,1585984940-18,[Felheart Robes],16809,item:16809::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Golemagg the Incinerator,9,409,40,|cffa335ee|Hitem:14152:928:::::::60:::::::|h[Robe of the Archmage]|h|r,,1,true,Cloth,Chest,,Golemagg the Incinerator
Clothie-BloodsailBuccaneers,4/04/20,03:52:08,1585986728-22,[Dalewind Trousers],13008,item:13008::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Ragnaros,9,409,40,|cffa335ee|Hitem:16915:2544:::::::60:::::::|h[Netherwind Pants]|h|r,,1,true,Cloth,Legs,,Ragnaros
Clothie-BloodsailBuccaneers,4/04/20,05:30:01,1585992601-0,[Nightslayer Pants],16822,item:16822::::::::60,Disenchant,0,MAGE,,Unknown,0,0,0,|cffa335ee|Hitem:16915:2544:::::::60:::::::|h[Netherwind Pants]|h|r,,1,true,Leather,Legs,,Clothie-BloodsailBuccaneers
Clothie-BloodsailBuccaneers,4/04/20,05:30:06,1585992606-1,[Cenarion Boots],16829,item:16829::::::::60,Disenchant,0,MAGE,,Unknown,0,0,0,|cff0070dd|Hitem:22860:851:::::::60:::14::::|h[Blood Guard's Silk Walkers]|h|r,,1,true,Leather,Feet,,Clothie-BloodsailBuccaneers
Clothie-BloodsailBuccaneers,4/05/20,00:30:58,1586061058-14,[Venomous Totem],19342,item:19342::::::::60,Disenchant,0,MAGE,Blackwing Lair-40 Player,Broodlord Lashlayer,9,469,40,|cffa335ee|Hitem:19339::::::::60:::::::|h[Mind Quickening Gem]|h|r,|cff0070dd|Hitem:12930::::::::60:::1::::|h[Briarwood Reed]|h|r,1,true,Miscellaneous,Trinket,,Broodlord Lashlayer
Clothie-BloodsailBuccaneers,4/11/20,00:44:46,1586580286-0,[Pattern: Felcloth Robe],14506,item:14506::::::::60,Banking,0,MAGE,Onyxia's Lair-40 Player,Onyxia,9,249,40,,,2,true,Tailoring,,,Onyxia
Clothie-BloodsailBuccaneers,4/11/20,00:44:52,1586580292-1,[Tome of Arcane Brilliance],18600,item:18600::::::::60,Banking,0,MAGE,Onyxia's Lair-40 Player,Onyxia,9,249,40,,,2,true,Book,,,Onyxia
Clothie-BloodsailBuccaneers,4/11/20,01:29:41,1586582981-3,[Felheart Gloves],16805,item:16805::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Lucifron,9,409,40,|cff0070dd|Hitem:22870::::::::60:::14::::|h[Blood Guard's Silk Handwraps]|h|r,,1,true,Cloth,Hands,,Lucifron
Clothie-BloodsailBuccaneers,4/11/20,01:34:02,1586583242-5,[Cenarion Leggings],16835,item:16835::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Magmadar,9,409,40,|cffa335ee|Hitem:16915:2544:::::::60:::::::|h[Netherwind Pants]|h|r,,1,true,Leather,Legs,,Magmadar
Clothie-BloodsailBuccaneers,4/11/20,01:34:07,1586583247-6,[Nightslayer Pants],16822,item:16822::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Magmadar,9,409,40,|cffa335ee|Hitem:16915:2544:::::::60:::::::|h[Netherwind Pants]|h|r,,1,true,Leather,Legs,,Magmadar
Clothie-BloodsailBuccaneers,4/11/20,01:47:57,1586584077-11,[Gloves of Prophecy],16812,item:16812::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Gehennas,9,409,40,|cff0070dd|Hitem:22870::::::::60:::14::::|h[Blood Guard's Silk Handwraps]|h|r,,1,true,Cloth,Hands,,Gehennas
Clothie-BloodsailBuccaneers,4/11/20,02:03:27,1586585007-12,[Giantstalker's Helmet],16846,item:16846::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Garr,9,409,40,|cffa335ee|Hitem:16914::::::::60:::::::|h[Netherwind Crown]|h|r,,1,true,Mail,Head,,Garr
Clothie-BloodsailBuccaneers,4/11/20,02:04:31,1586585071-13,[Sabatons of the Flamewalker],19144,item:19144::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Garr,9,409,40,|cff0070dd|Hitem:22860:851:::::::60:::14::::|h[Blood Guard's Silk Walkers]|h|r,,1,true,Mail,Feet,,Garr
Clothie-BloodsailBuccaneers,4/11/20,02:13:06,1586585586-15,[Felheart Shoulder Pads],16807,item:16807::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Baron Geddon,9,409,40,|cff0070dd|Hitem:11782:2483:::::::60:::1::::|h[Boreal Mantle]|h|r,,1,true,Cloth,Shoulder,,Baron Geddon
Clothie-BloodsailBuccaneers,4/11/20,02:21:08,1586586068-17,[Arcanist Gloves],16801,item:16801::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Shazzrah,9,409,40,|cff0070dd|Hitem:22870::::::::60:::14::::|h[Blood Guard's Silk Handwraps]|h|r,,1,true,Cloth,Hands,,Shazzrah
Clothie-BloodsailBuccaneers,4/11/20,02:49:56,1586587796-21,[Giantstalker's Breastplate],16845,item:16845::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Golemagg the Incinerator,9,409,40,|cffa335ee|Hitem:14152:928:::::::60:::::::|h[Robe of the Archmage]|h|r,,1,true,Mail,Chest,,Golemagg the Incinerator
Clothie-BloodsailBuccaneers,4/11/20,23:15:46,1586661346-2,[Gloves of Rapid Evolution],19369,item:19369::::::::60,Disenchant,0,MAGE,Blackwing Lair-40 Player,Razorgore the Untamed,9,469,40,|cff0070dd|Hitem:22870::::::::60:::14::::|h[Blood Guard's Silk Handwraps]|h|r,,1,true,Cloth,Hands,,Razorgore the Untamed
Clothie-BloodsailBuccaneers,4/11/20,23:28:57,1586662137-5,[Netherwind Belt],16818,item:16818::::::::60,Disenchant,0,MAGE,Blackwing Lair-40 Player,Vaelastrasz the Corrupt,9,469,40,|cffa335ee|Hitem:19136::::::::60:::::::|h[Mana Igniting Cord]|h|r,,1,true,Cloth,Waist,,Vaelastrasz the Corrupt
Clothie-BloodsailBuccaneers,4/18/20,00:48:12,1587185292-2,[Nemesis Skullcap],16929,item:16929::::::::60,Disenchant,0,MAGE,Onyxia's Lair-40 Player,Onyxia,9,249,40,|cffa335ee|Hitem:16914::::::::60:::::::|h[Netherwind Crown]|h|r,,1,true,Cloth,Head,,Onyxia
Clothie-BloodsailBuccaneers,4/18/20,01:33:51,1587188031-9,[Cenarion Boots],16829,item:16829::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Lucifron,9,409,40,|cff0070dd|Hitem:22860:851:::::::60:::14::::|h[Blood Guard's Silk Walkers]|h|r,,1,true,Leather,Feet,,Lucifron
Clothie-BloodsailBuccaneers,4/18/20,01:47:40,1587188860-15,[Cenarion Bracers],16830,item:16830::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Magmadar,9,409,40,|cffa335ee|Hitem:16799:1883:::::::60:::::::|h[Arcanist Bindings]|h|r,,1,true,Leather,Wrist,,Magmadar
Clothie-BloodsailBuccaneers,4/18/20,02:32:43,1587191563-27,[Boots of Prophecy],16811,item:16811::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Shazzrah,9,409,40,|cff0070dd|Hitem:22860:851:::::::60:::14::::|h[Blood Guard's Silk Walkers]|h|r,,1,true,Cloth,Feet,,Shazzrah
Clothie-BloodsailBuccaneers,4/18/20,02:42:20,1587192140-28,[Cenarion Belt],16828,item:16828::::::::60,Banking,0,MAGE,Molten Core-40 Player,Shazzrah,9,409,40,|cffa335ee|Hitem:19136::::::::60:::::::|h[Mana Igniting Cord]|h|r,,2,true,Leather,Waist,,Shazzrah
Clothie-BloodsailBuccaneers,4/18/20,02:53:36,1587192816-29,[Cenarion Bracers],16830,item:16830::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Shazzrah,9,409,40,|cffa335ee|Hitem:16799:1883:::::::60:::::::|h[Arcanist Bindings]|h|r,,1,true,Leather,Wrist,,Shazzrah
Clothie-BloodsailBuccaneers,4/18/20,03:09:10,1587193750-34,[Felheart Robes],16809,item:16809::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Golemagg the Incinerator,9,409,40,|cffa335ee|Hitem:14152:928:::::::60:::::::|h[Robe of the Archmage]|h|r,,1,true,Cloth,Chest,,Golemagg the Incinerator
Clothie-BloodsailBuccaneers,4/19/20,01:16:33,1587273393-14,[Ringo's Blizzard Boots],19438,item:19438::::::::60,Mainspec,5,MAGE,Blackwing Lair-40 Player,Firemaw,9,469,40,|cff0070dd|Hitem:11822:464:::::::60:::1::::|h[Omnicast Boots]|h|r,,1,false,Cloth,Feet,,Firemaw
Clothie-BloodsailBuccaneers,4/19/20,23:16:22,1587352582-1,[Nemesis Skullcap],16929,item:16929::::::::60,Disenchant,0,MAGE,Onyxia's Lair-40 Player,Onyxia,9,249,40,|cffa335ee|Hitem:16914::::::::60:::::::|h[Netherwind Crown]|h|r,,1,true,Cloth,Head,,Onyxia
Clothie-BloodsailBuccaneers,4/19/20,23:16:29,1587352589-2,[Eskhandar's Collar],18205,item:18205::::::::60,Disenchant,0,MAGE,Onyxia's Lair-40 Player,Onyxia,9,249,40,|cff0070dd|Hitem:12103::::::::60:::1::::|h[Star of Mystaria]|h|r,,1,true,Miscellaneous,Neck,,Onyxia
Clothie-BloodsailBuccaneers,4/19/20,23:17:17,1587352637-6,[Onyxia Hide Backpack],17966,item:17966::::::::60,Mainspec,2,MAGE,Onyxia's Lair-40 Player,Onyxia,9,249,40,,,1,false,Bag,Bag,,Onyxia
Clothie-BloodsailBuccaneers,4/25/20,00:43:06,1587789786-0,[Bloodfang Hood],16908,item:16908::::::::60,Disenchant,0,MAGE,Onyxia's Lair-40 Player,Onyxia,9,249,40,|cffa335ee|Hitem:16914::::::::60:::::::|h[Netherwind Crown]|h|r,,1,true,Leather,Head,,Onyxia
Clothie-BloodsailBuccaneers,4/25/20,01:23:42,1587792222-7,[Giantstalker's Belt],16851,item:16851::::::::60,Banking,0,MAGE,Molten Core-40 Player,Onyxia,9,409,40,|cffa335ee|Hitem:19136::::::::60:::::::|h[Mana Igniting Cord]|h|r,,2,true,Mail,Waist,,Onyxia
Clothie-BloodsailBuccaneers,4/25/20,01:43:01,1587793381-11,[Nightslayer Pants],16822,item:16822::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Magmadar,9,409,40,|cffa335ee|Hitem:16915:2544:::::::60:::::::|h[Netherwind Pants]|h|r,,1,true,Leather,Legs,,Magmadar
Clothie-BloodsailBuccaneers,4/25/20,01:53:15,1587793995-16,[Arcanist Bindings],16799,item:16799::::::::60,Banking,0,MAGE,Molten Core-40 Player,Magmadar,9,409,40,|cff0070dd|Hitem:11766:1883:::::1965:1490509952:60:::1::::|h[Flameweave Cuffs of Frozen Wrath]|h|r,,2,true,Cloth,Wrist,,Magmadar
Clothie-BloodsailBuccaneers,4/25/20,01:58:30,1587794310-17,[Giantstalker's Boots],16849,item:16849::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Gehennas,9,409,40,|cffa335ee|Hitem:19438:851:::::::60:::::::|h[Ringo's Blizzard Boots]|h|r,,1,true,Mail,Feet,,Gehennas
Clothie-BloodsailBuccaneers,4/25/20,01:58:34,1587794314-18,[Nightslayer Gloves],16826,item:16826::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Gehennas,9,409,40,|cffa335ee|Hitem:16801:930:::::::60:::::::|h[Arcanist Gloves]|h|r,,1,true,Leather,Hands,,Gehennas
Clothie-BloodsailBuccaneers,4/25/20,02:16:10,1587795370-19,[Giantstalker's Helmet],16846,item:16846::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Garr,9,409,40,|cffa335ee|Hitem:16914::::::::60:::::::|h[Netherwind Crown]|h|r,,1,true,Mail,Head,,Garr
Clothie-BloodsailBuccaneers,4/25/20,02:33:18,1587796398-24,[Flameguard Gauntlets],19143,item:19143::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Baron Geddon,9,409,40,|cffa335ee|Hitem:16801:930:::::::60:::::::|h[Arcanist Gloves]|h|r,,1,true,Plate,Hands,,Baron Geddon
Clothie-BloodsailBuccaneers,4/25/20,02:47:45,1587797265-25,[Felheart Slippers],16803,item:16803::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Shazzrah,9,409,40,|cffa335ee|Hitem:19438:851:::::::60:::::::|h[Ringo's Blizzard Boots]|h|r,,1,true,Cloth,Feet,,Shazzrah
Clothie-BloodsailBuccaneers,4/25/20,02:47:55,1587797275-26,[Cenarion Gloves],16831,item:16831::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Shazzrah,9,409,40,|cffa335ee|Hitem:16801:930:::::::60:::::::|h[Arcanist Gloves]|h|r,,1,true,Leather,Hands,,Shazzrah
Clothie-BloodsailBuccaneers,4/25/20,03:06:01,1587798361-27,[Shadowstrike],17074,item:17074::::::::60,Disenchant,1,MAGE,Molten Core-40 Player,Sulfuron Harbinger,9,409,40,|cffa335ee|Hitem:17103:2504:::::::60:::::::|h[Azuresong Mageblade]|h|r,|cffa335ee|Hitem:19310::::::::60:::14::::|h[Tome of the Ice Lord]|h|r,1,true,Polearms,Two-Hand,,Sulfuron Harbinger
Clothie-BloodsailBuccaneers,4/25/20,03:17:34,1587799054-29,[Giantstalker's Breastplate],16845,item:16845::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Golemagg the Incinerator,9,409,40,|cffa335ee|Hitem:14152:928:::::::60:::::::|h[Robe of the Archmage]|h|r,,1,true,Mail,Chest,,Golemagg the Incinerator
Clothie-BloodsailBuccaneers,4/25/20,03:17:42,1587799062-30,[Robes of Prophecy],16815,item:16815::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Golemagg the Incinerator,9,409,40,|cffa335ee|Hitem:14152:928:::::::60:::::::|h[Robe of the Archmage]|h|r,,1,true,Cloth,Chest,,Golemagg the Incinerator
Clothie-BloodsailBuccaneers,4/25/20,23:40:30,1587872430-5,[Netherwind Belt],16818,item:16818::::::::60,Disenchant,0,MAGE,Blackwing Lair-40 Player,Vaelastrasz the Corrupt,9,469,40,|cffa335ee|Hitem:19136::::::::60:::::::|h[Mana Igniting Cord]|h|r,,1,true,Cloth,Waist,,Vaelastrasz the Corrupt
Clothie-BloodsailBuccaneers,4/26/20,22:39:34,1587955174-0,[Vambraces of Prophecy],16819,item:16819::::::::60,Banking,0,MAGE,Molten Core-40 Player,Unknown,9,409,40,|cff0070dd|Hitem:11766:1883:::::1965:1490509952:60:::1::::|h[Flameweave Cuffs of Frozen Wrath]|h|r,,2,true,Cloth,Wrist,,Clothie-BloodsailBuccaneers
Clothie-BloodsailBuccaneers,5/02/20,01:53:24,1588398804-6,[Nightslayer Gloves],16826,item:16826::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Gehennas,9,409,40,|cffa335ee|Hitem:16801:930:::::::60:::::::|h[Arcanist Gloves]|h|r,,1,true,Leather,Hands,,Gehennas
Clothie-BloodsailBuccaneers,5/02/20,01:57:29,1588399049-8,[Girdle of Prophecy],16817,item:16817::::::::60,Banking,0,MAGE,Molten Core-40 Player,Gehennas,9,409,40,|cffa335ee|Hitem:19136::::::::60:::::::|h[Mana Igniting Cord]|h|r,,2,true,Cloth,Waist,,Gehennas
Clothie-BloodsailBuccaneers,5/02/20,02:12:32,1588399952-9,[Circlet of Prophecy],16813,item:16813::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Garr,9,409,40,|cffa335ee|Hitem:16914::::::::60:::::::|h[Netherwind Crown]|h|r,,1,true,Cloth,Head,,Garr
Clothie-BloodsailBuccaneers,5/02/20,02:40:15,1588401615-14,[Arcanist Gloves],16801,item:16801::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Shazzrah,9,409,40,|cffa335ee|Hitem:16801:930:::::::60:::::::|h[Arcanist Gloves]|h|r,,1,true,Cloth,Hands,,Shazzrah
Clothie-BloodsailBuccaneers,5/02/20,02:56:10,1588402570-16,[Arcanist Belt],16802,item:16802::::::::60,Banking,0,MAGE,Molten Core-40 Player,Shazzrah,9,409,40,|cffa335ee|Hitem:19136::::::::60:::::::|h[Mana Igniting Cord]|h|r,,2,true,Cloth,Waist,,Shazzrah
Clothie-BloodsailBuccaneers,5/02/20,23:17:29,1588475849-1,[Nemesis Bracers],16934,item:16934::::::::60,Disenchant,0,MAGE,Blackwing Lair-40 Player,Razorgore the Untamed,9,469,40,|cff0070dd|Hitem:11766:1883:::::1965:1490509952:60:::1::::|h[Flameweave Cuffs of Frozen Wrath]|h|r,,1,true,Cloth,Wrist,,Razorgore the Untamed
Clothie-BloodsailBuccaneers,5/02/20,23:25:27,1588476327-3,[Netherwind Belt],16818,item:16818::::::::60,Disenchant,0,MAGE,Blackwing Lair-40 Player,Vaelastrasz the Corrupt,9,469,40,|cffa335ee|Hitem:19136::::::::60:::::::|h[Mana Igniting Cord]|h|r,,1,true,Cloth,Waist,,Vaelastrasz the Corrupt
Clothie-BloodsailBuccaneers,5/03/20,02:30:29,1588487429-21,[Cloak of the Brood Lord],19378,item:19378::::::::60,Mainspec,4,MAGE,Blackwing Lair-40 Player,Nefarian,9,469,40,|cff0070dd|Hitem:15138:2463:::::::60:::::::|h[Onyxia Scale Cloak]|h|r,,1,false,Cloth,Back,,Nefarian
Clothie-BloodsailBuccaneers,5/09/20,01:33:16,1589002396-8,[Nightslayer Pants],16822,item:16822::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Magmadar,9,409,40,|cffa335ee|Hitem:16915:2588:::::::60:::::::|h[Netherwind Pants]|h|r,,1,true,Leather,Legs,,Magmadar
Clothie-BloodsailBuccaneers,5/09/20,02:02:18,1589004138-14,[Nightslayer Cover],16821,item:16821::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Garr,9,409,40,|cffa335ee|Hitem:16914:2588:::::::60:::::::|h[Netherwind Crown]|h|r,,1,true,Leather,Head,,Garr
Clothie-BloodsailBuccaneers,5/09/20,02:15:32,1589004932-18,[Cenarion Spaulders],16836,item:16836::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Baron Geddon,9,409,40,|cff0070dd|Hitem:11782:2483:::::::60:::1::::|h[Boreal Mantle]|h|r,,1,true,Leather,Shoulder,,Baron Geddon
Clothie-BloodsailBuccaneers,5/09/20,02:23:02,1589005382-20,[Nightslayer Boots],16824,item:16824::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Shazzrah,9,409,40,|cffa335ee|Hitem:19438:851:::::::60:::::::|h[Ringo's Blizzard Boots]|h|r,,1,true,Leather,Feet,,Shazzrah
Clothie-BloodsailBuccaneers,5/09/20,02:24:55,1589005495-21,[Girdle of Prophecy],16817,item:16817::::::::60,Banking,0,MAGE,Molten Core-40 Player,Shazzrah,9,409,40,|cffa335ee|Hitem:19136::::::::60:::::::|h[Mana Igniting Cord]|h|r,,2,true,Cloth,Waist,,Shazzrah
Clothie-BloodsailBuccaneers,5/09/20,02:38:52,1589006332-22,[Nightslayer Shoulder Pads],16823,item:16823::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Sulfuron Harbinger,9,409,40,|cff0070dd|Hitem:11782:2483:::::::60:::1::::|h[Boreal Mantle]|h|r,,1,true,Leather,Shoulder,,Sulfuron Harbinger
Clothie-BloodsailBuccaneers,5/09/20,02:39:02,1589006342-23,[Shadowstrike],17074,item:17074::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Sulfuron Harbinger,9,409,40,|cffa335ee|Hitem:17103:2504:::::::60:::::::|h[Azuresong Mageblade]|h|r,|cffa335ee|Hitem:19310::::::::60:::14::::|h[Tome of the Ice Lord]|h|r,1,true,Polearms,Two-Hand,,Sulfuron Harbinger
Clothie-BloodsailBuccaneers,5/09/20,02:42:34,1589006554-24,[Arcanist Bindings],16799,item:16799::::::::60,Banking,0,MAGE,Molten Core-40 Player,Sulfuron Harbinger,9,409,40,|cff0070dd|Hitem:11766:1883:::::1965:1490509952:60:::1::::|h[Flameweave Cuffs of Frozen Wrath]|h|r,,2,true,Cloth,Wrist,,Sulfuron Harbinger
Clothie-BloodsailBuccaneers,5/09/20,23:34:40,1589081680-3,[Netherwind Belt],16818,item:16818::::::::60,Disenchant,0,MAGE,Blackwing Lair-40 Player,Vaelastrasz the Corrupt,9,469,40,|cffa335ee|Hitem:19136::::::::60:::::::|h[Mana Igniting Cord]|h|r,,1,true,Cloth,Waist,,Vaelastrasz the Corrupt
Clothie-BloodsailBuccaneers,5/10/20,02:46:39,1589093199-26,[Halo of Transcendence],16921,item:16921::::::::60,Disenchant,0,MAGE,Onyxia's Lair-40 Player,Onyxia,9,249,40,|cffa335ee|Hitem:16914:2588:::::::60:::::::|h[Netherwind Crown]|h|r,,1,true,Cloth,Head,,Onyxia
Clothie-BloodsailBuccaneers,5/10/20,02:46:43,1589093203-27,[Halo of Transcendence],16921,item:16921::::::::60,Disenchant,0,MAGE,Onyxia's Lair-40 Player,Onyxia,9,249,40,|cffa335ee|Hitem:16914:2588:::::::60:::::::|h[Netherwind Crown]|h|r,,1,true,Cloth,Head,,Onyxia
Clothie-BloodsailBuccaneers,5/16/20,00:41:01,1589604061-0,[Bloodfang Hood],16908,item:16908::::::::60,Disenchant,0,MAGE,Onyxia's Lair-40 Player,Onyxia,9,249,40,|cffa335ee|Hitem:16914:2588:::::::60:::::::|h[Netherwind Crown]|h|r,,1,true,Leather,Head,,Onyxia
Clothie-BloodsailBuccaneers,5/16/20,00:41:14,1589604074-1,[Bloodfang Hood],16908,item:16908::::::::60,Disenchant,0,MAGE,Onyxia's Lair-40 Player,Onyxia,9,249,40,|cffa335ee|Hitem:16914:2588:::::::60:::::::|h[Netherwind Crown]|h|r,,1,true,Leather,Head,,Onyxia
